"Step","phase1_tau03_seed_375708561 - val/recall@10","phase1_tau03_seed_375708561 - val/recall@10__MIN","phase1_tau03_seed_375708561 - val/recall@10__MAX"
"5","0.035507618558465896","0.035507618558465896","0.035507618558465896"
"12","0.04476973121040922","0.04476973121040922","0.04476973121040922"
"20","0.042073275124122574","0.042073275124122574","0.042073275124122574"
"27","0.04417051874678996","0.04417051874678996","0.04417051874678996"
"35","0.0458996747132341","0.0458996747132341","0.0458996747132341"
"43","0.04631056325971587","0.04631056325971587","0.04631056325971587"
"51","0.046807053586714685","0.046807053586714685","0.046807053586714685"
"59","0.046875535011128316","0.046875535011128316","0.046875535011128316"
"67","0.04629344290361247","0.04629344290361247","0.04629344290361247"
"74","0.04593391542544092","0.04593391542544092","0.04593391542544092"
"82","0.04738914569423053","0.04738914569423053","0.04738914569423053"
"90","0.048056839582263415","0.048056839582263415","0.048056839582263415"
"97","0.0478000342407123","0.0478000342407123","0.0478000342407123"
"104","0.04749186783085098","0.04749186783085098","0.04749186783085098"
"112","0.04815956171888386","0.04815956171888386","0.04815956171888386"
"119","0.0480054785139532","0.0480054785139532","0.0480054785139532"
"127","0.04867317240198608","0.04867317240198608","0.04867317240198608"
"135","0.04867317240198608","0.04867317240198608","0.04867317240198608"
"142","0.04851908919705541","0.04851908919705541","0.04851908919705541"
"149","0.050522170861154056","0.050522170861154056","0.050522170861154056"
"157","0.049546310563259845","0.049546310563259845","0.049546310563259845"
"164","0.05125834617360056","0.05125834617360056","0.05125834617360056"
"172","0.05007704160246546","0.05007704160246546","0.05007704160246546"
"180","0.05108714261256649","0.05108714261256649","0.05108714261256649"
"187","0.050368087656223394","0.050368087656223394","0.050368087656223394"
"195","0.050915939051532424","0.050915939051532424","0.050915939051532424"
"203","0.05059065228556769","0.05059065228556769","0.05059065228556769"
"211","0.05141242937853123","0.05141242937853123","0.05141242937853123"
"219","0.05084745762711879","0.05084745762711879","0.05084745762711879"
"226","0.05120698510529035","0.05120698510529035","0.05120698510529035"
"233","0.05202876219825389","0.05202876219825389","0.05202876219825389"
"240","0.05113850368087672","0.05113850368087672","0.05113850368087672"
"247","0.05249101181304589","0.05249101181304589","0.05249101181304589"
"255","0.05208012326656412","0.05208012326656412","0.05208012326656412"
"263","0.05196028077384026","0.05196028077384026","0.05196028077384026"
"271","0.051155624036980124","0.051155624036980124","0.051155624036980124"
"278","0.0529875021400447","0.0529875021400447","0.0529875021400447"
"286","0.05444273240883432","0.05444273240883432","0.05444273240883432"
"294","0.05334702961821625","0.05334702961821625","0.05334702961821625"
"301","0.052953261427837885","0.052953261427837885","0.052953261427837885"
"308","0.05444273240883432","0.05444273240883432","0.05444273240883432"
"316","0.05457969525766158","0.05457969525766158","0.05457969525766158"
"323","0.055059065228556976","0.055059065228556976","0.055059065228556976"
"330","0.0546310563259718","0.0546310563259718","0.0546310563259718"
"337","0.056343091936312525","0.056343091936312525","0.056343091936312525"
"344","0.055675398048279645","0.055675398048279645","0.055675398048279645"
"352","0.05654853620955342","0.05654853620955342","0.05654853620955342"
"359","0.05632597158020912","0.05632597158020912","0.05632597158020912"
"366","0.05642869371682956","0.05642869371682956","0.05642869371682956"
"374","0.05634309193631253","0.05634309193631253","0.05634309193631253"
