"Step","phase1_tau03_seed_375708561 - val/ndcg@20","phase1_tau03_seed_375708561 - val/ndcg@20__MIN","phase1_tau03_seed_375708561 - val/ndcg@20__MAX"
"5","0.02478234450586479","0.02478234450586479","0.02478234450586479"
"12","0.03006526908481876","0.03006526908481876","0.03006526908481876"
"20","0.02843418059398045","0.02843418059398045","0.02843418059398045"
"27","0.03013215932910319","0.03013215932910319","0.03013215932910319"
"35","0.031065782983740055","0.031065782983740055","0.031065782983740055"
"43","0.03145971348858852","0.03145971348858852","0.03145971348858852"
"51","0.03167471768931636","0.03167471768931636","0.03167471768931636"
"59","0.032051193189294905","0.032051193189294905","0.032051193189294905"
"67","0.031998936155027816","0.031998936155027816","0.031998936155027816"
"74","0.0318731463750062","0.0318731463750062","0.0318731463750062"
"82","0.03309304983216147","0.03309304983216147","0.03309304983216147"
"90","0.03264464526788798","0.03264464526788798","0.03264464526788798"
"97","0.03251796794798501","0.03251796794798501","0.03251796794798501"
"104","0.03324688871724321","0.03324688871724321","0.03324688871724321"
"112","0.03305491995590006","0.03305491995590006","0.03305491995590006"
"119","0.03318881034889562","0.03318881034889562","0.03318881034889562"
"127","0.033905658317407675","0.033905658317407675","0.033905658317407675"
"135","0.033393998436378296","0.033393998436378296","0.033393998436378296"
"142","0.03367104883939075","0.03367104883939075","0.03367104883939075"
"149","0.034275082354590654","0.034275082354590654","0.034275082354590654"
"157","0.03436485882435788","0.03436485882435788","0.03436485882435788"
"164","0.03458841415986354","0.03458841415986354","0.03458841415986354"
"172","0.0348807927527611","0.0348807927527611","0.0348807927527611"
"180","0.03480188707889404","0.03480188707889404","0.03480188707889404"
"187","0.03496863553857735","0.03496863553857735","0.03496863553857735"
"195","0.0350698768767682","0.0350698768767682","0.0350698768767682"
"203","0.035632565033069295","0.035632565033069295","0.035632565033069295"
"211","0.03540339652271168","0.03540339652271168","0.03540339652271168"
"219","0.03557095669220828","0.03557095669220828","0.03557095669220828"
"226","0.03550283398270644","0.03550283398270644","0.03550283398270644"
"233","0.035613465234745824","0.035613465234745824","0.035613465234745824"
"240","0.035677095545000245","0.035677095545000245","0.035677095545000245"
"247","0.036116307018217234","0.036116307018217234","0.036116307018217234"
"255","0.036608018650144375","0.036608018650144375","0.036608018650144375"
"263","0.036266876767243446","0.036266876767243446","0.036266876767243446"
"271","0.03646805079966641","0.03646805079966641","0.03646805079966641"
"278","0.03686885622781126","0.03686885622781126","0.03686885622781126"
"286","0.03723233764516218","0.03723233764516218","0.03723233764516218"
"294","0.036741857243336146","0.036741857243336146","0.036741857243336146"
"301","0.0373139411500984","0.0373139411500984","0.0373139411500984"
"308","0.037760072932058776","0.037760072932058776","0.037760072932058776"
"316","0.03718165512690687","0.03718165512690687","0.03718165512690687"
"323","0.03762219554024863","0.03762219554024863","0.03762219554024863"
"330","0.037814265377814245","0.037814265377814245","0.037814265377814245"
"337","0.03781522819204807","0.03781522819204807","0.03781522819204807"
"344","0.038559885068369056","0.038559885068369056","0.038559885068369056"
"352","0.03792926581369487","0.03792926581369487","0.03792926581369487"
"359","0.03810940677880859","0.03810940677880859","0.03810940677880859"
"366","0.03900090725436164","0.03900090725436164","0.03900090725436164"
"374","0.03847446714541384","0.03847446714541384","0.03847446714541384"
